X좌표(경도),Y좌표(위도),음식점 개수
126.8185 ~ 126.8244,37.5002 ~ 37.50429999999999,0.0
126.8185 ~ 126.8244,37.50429999999999 ~ 37.508399999999995,0.0
126.8185 ~ 126.8244,37.508399999999995 ~ 37.512499999999996,0.0
126.8185 ~ 126.8244,37.512499999999996 ~ 37.5166,0.0
126.8185 ~ 126.8244,37.5166 ~ 37.5207,0.0
126.8185 ~ 126.8244,37.5207 ~ 37.5248,0.0
126.8185 ~ 126.8244,37.5248 ~ 37.52889999999999,0.0
126.8185 ~ 126.8244,37.52889999999999 ~ 37.532999999999994,0.0
126.8185 ~ 126.8244,37.532999999999994 ~ 37.537099999999995,1.0
126.8185 ~ 126.8244,37.537099999999995 ~ 37.541199999999996,5.0
126.8185 ~ 126.8244,37.541199999999996 ~ 37.5453,1.0
126.8185 ~ 126.8244,37.5453 ~ 37.5494,8.0
126.8185 ~ 126.8244,37.5494 ~ 37.5535,9.0
126.8185 ~ 126.8244,37.5535 ~ 37.557599999999994,17.0
126.8185 ~ 126.8244,37.557599999999994 ~ 37.561699999999995,12.0
126.8185 ~ 126.8244,37.561699999999995 ~ 37.565799999999996,22.0
126.8185 ~ 126.8244,37.565799999999996 ~ 37.5699,17.0
126.8185 ~ 126.8244,37.5699 ~ 37.574,41.0
126.8185 ~ 126.8244,37.574 ~ 37.5781,0.0
126.8185 ~ 126.8244,37.5781 ~ 37.58219999999999,2.0
126.8185 ~ 126.8244,37.58219999999999 ~ 37.586299999999994,0.0
126.8185 ~ 126.8244,37.586299999999994 ~ 37.590399999999995,0.0
126.8185 ~ 126.8244,37.590399999999995 ~ 37.5945,0.0
126.8185 ~ 126.8244,37.5945 ~ 37.5986,0.0
126.8185 ~ 126.8244,37.5986 ~ 37.6027,0.0
126.8185 ~ 126.8244,37.6027 ~ 37.6068,0.0
126.8185 ~ 126.8244,37.6068 ~ 37.610899999999994,0.0
126.8185 ~ 126.8244,37.610899999999994 ~ 37.614999999999995,0.0
126.8185 ~ 126.8244,37.614999999999995 ~ 37.619099999999996,0.0
126.8185 ~ 126.8244,37.619099999999996 ~ 37.6232,0.0
126.8185 ~ 126.8244,37.6232 ~ 37.6273,0.0
126.8185 ~ 126.8244,37.6273 ~ 37.6314,0.0
126.8185 ~ 126.8244,37.6314 ~ 37.63549999999999,0.0
126.8185 ~ 126.8244,37.63549999999999 ~ 37.639599999999994,0.0
126.8185 ~ 126.8244,37.639599999999994 ~ 37.643699999999995,0.0
126.8185 ~ 126.8244,37.643699999999995 ~ 37.6478,0.0
126.8185 ~ 126.8244,37.6478 ~ 37.6519,0.0
126.8185 ~ 126.8244,37.6519 ~ 37.656,0.0
126.8185 ~ 126.8244,37.656 ~ 37.6601,0.0
126.8185 ~ 126.8244,37.6601 ~ 37.664199999999994,0.0
126.8185 ~ 126.8244,37.664199999999994 ~ 37.668299999999995,0.0
126.8185 ~ 126.8244,37.668299999999995 ~ 37.672399999999996,0.0
126.8185 ~ 126.8244,37.672399999999996 ~ 37.6765,0.0
126.8185 ~ 126.8244,37.6765 ~ 37.6806,0.0
126.8185 ~ 126.8244,37.6806 ~ 37.6847,0.0
126.8185 ~ 126.8244,37.6847 ~ 37.68879999999999,0.0
126.8185 ~ 126.8244,37.68879999999999 ~ 37.692899999999995,0.0
126.8185 ~ 126.8244,37.692899999999995 ~ 37.696999999999996,0.0
126.8185 ~ 126.8244,37.696999999999996 ~ 37.7011,0.0
126.8185 ~ 126.8244,37.7011 ~ 37.7052,0.0
126.8185 ~ 126.8244,37.7052 ~ 37.7093,0.0
126.8185 ~ 126.8244,37.7093 ~ 37.7134,0.0
126.8185 ~ 126.8244,37.7134 ~ 37.717499999999994,0.0
126.8244 ~ 126.83030000000001,37.41 ~ 37.4141,0.0
126.8244 ~ 126.83030000000001,37.4141 ~ 37.4182,0.0
126.8244 ~ 126.83030000000001,37.4182 ~ 37.4223,0.0
126.8244 ~ 126.83030000000001,37.4223 ~ 37.426399999999994,0.0
126.8244 ~ 126.83030000000001,37.426399999999994 ~ 37.430499999999995,0.0
126.8244 ~ 126.83030000000001,37.430499999999995 ~ 37.434599999999996,0.0
126.8244 ~ 126.83030000000001,37.434599999999996 ~ 37.4387,0.0
126.8244 ~ 126.83030000000001,37.4387 ~ 37.4428,0.0
126.8244 ~ 126.83030000000001,37.4428 ~ 37.4469,0.0
126.8244 ~ 126.83030000000001,37.4469 ~ 37.45099999999999,0.0
126.8244 ~ 126.83030000000001,37.45099999999999 ~ 37.455099999999995,0.0
126.8244 ~ 126.83030000000001,37.455099999999995 ~ 37.459199999999996,0.0
126.8244 ~ 126.83030000000001,37.459199999999996 ~ 37.4633,0.0
126.8244 ~ 126.83030000000001,37.4633 ~ 37.4674,0.0
126.8244 ~ 126.83030000000001,37.4674 ~ 37.4715,0.0
126.8244 ~ 126.83030000000001,37.4715 ~ 37.4756,0.0
126.8244 ~ 126.83030000000001,37.4756 ~ 37.479699999999994,1.0
126.8244 ~ 126.83030000000001,37.479699999999994 ~ 37.483799999999995,0.0
126.8244 ~ 126.83030000000001,37.483799999999995 ~ 37.487899999999996,1.0
126.8244 ~ 126.83030000000001,37.487899999999996 ~ 37.492,18.0
126.8244 ~ 126.83030000000001,37.492 ~ 37.4961,4.0
126.8244 ~ 126.83030000000001,37.4961 ~ 37.5002,16.0
126.8244 ~ 126.83030000000001,37.5002 ~ 37.50429999999999,0.0
126.8244 ~ 126.83030000000001,37.50429999999999 ~ 37.508399999999995,0.0
126.8244 ~ 126.83030000000001,37.508399999999995 ~ 37.512499999999996,1.0
126.8244 ~ 126.83030000000001,37.512499999999996 ~ 37.5166,1.0
126.8244 ~ 126.83030000000001,37.5166 ~ 37.5207,0.0
126.8244 ~ 126.83030000000001,37.5207 ~ 37.5248,1.0
126.8244 ~ 126.83030000000001,37.5248 ~ 37.52889999999999,0.0
126.8244 ~ 126.83030000000001,37.52889999999999 ~ 37.532999999999994,2.0
126.8244 ~ 126.83030000000001,37.532999999999994 ~ 37.537099999999995,72.0
126.8244 ~ 126.83030000000001,37.537099999999995 ~ 37.541199999999996,35.0
126.8244 ~ 126.83030000000001,37.541199999999996 ~ 37.5453,1.0
126.8244 ~ 126.83030000000001,37.5453 ~ 37.5494,0.0
126.8244 ~ 126.83030000000001,37.5494 ~ 37.5535,29.0
126.8244 ~ 126.83030000000001,37.5535 ~ 37.557599999999994,5.0
126.8244 ~ 126.83030000000001,37.557599999999994 ~ 37.561699999999995,134.0
126.8244 ~ 126.83030000000001,37.561699999999995 ~ 37.565799999999996,0.0
126.8244 ~ 126.83030000000001,37.565799999999996 ~ 37.5699,264.0
126.8244 ~ 126.83030000000001,37.5699 ~ 37.574,0.0
126.8244 ~ 126.83030000000001,37.574 ~ 37.5781,0.0
126.8244 ~ 126.83030000000001,37.5781 ~ 37.58219999999999,0.0
126.8244 ~ 126.83030000000001,37.58219999999999 ~ 37.586299999999994,0.0
126.8244 ~ 126.83030000000001,37.586299999999994 ~ 37.590399999999995,0.0
126.8244 ~ 126.83030000000001,37.590399999999995 ~ 37.5945,0.0
126.8244 ~ 126.83030000000001,37.5945 ~ 37.5986,0.0
126.8244 ~ 126.83030000000001,37.5986 ~ 37.6027,0.0
126.8244 ~ 126.83030000000001,37.6027 ~ 37.6068,0.0
126.8244 ~ 126.83030000000001,37.6068 ~ 37.610899999999994,0.0
126.8244 ~ 126.83030000000001,37.610899999999994 ~ 37.614999999999995,0.0
126.8244 ~ 126.83030000000001,37.614999999999995 ~ 37.619099999999996,0.0
126.8244 ~ 126.83030000000001,37.619099999999996 ~ 37.6232,0.0
126.8244 ~ 126.83030000000001,37.6232 ~ 37.6273,0.0
126.8244 ~ 126.83030000000001,37.6273 ~ 37.6314,0.0
126.8244 ~ 126.83030000000001,37.6314 ~ 37.63549999999999,0.0
126.8244 ~ 126.83030000000001,37.63549999999999 ~ 37.639599999999994,0.0
126.8244 ~ 126.83030000000001,37.639599999999994 ~ 37.643699999999995,0.0
126.8244 ~ 126.83030000000001,37.643699999999995 ~ 37.6478,0.0
126.8244 ~ 126.83030000000001,37.6478 ~ 37.6519,0.0
126.8244 ~ 126.83030000000001,37.6519 ~ 37.656,0.0
126.8244 ~ 126.83030000000001,37.656 ~ 37.6601,0.0
126.8244 ~ 126.83030000000001,37.6601 ~ 37.664199999999994,0.0
126.8244 ~ 126.83030000000001,37.664199999999994 ~ 37.668299999999995,0.0
126.8244 ~ 126.83030000000001,37.668299999999995 ~ 37.672399999999996,0.0
126.8244 ~ 126.83030000000001,37.672399999999996 ~ 37.6765,0.0
126.8244 ~ 126.83030000000001,37.6765 ~ 37.6806,0.0
126.8244 ~ 126.83030000000001,37.6806 ~ 37.6847,0.0
126.8244 ~ 126.83030000000001,37.6847 ~ 37.68879999999999,0.0
126.8244 ~ 126.83030000000001,37.68879999999999 ~ 37.692899999999995,0.0
126.8244 ~ 126.83030000000001,37.692899999999995 ~ 37.696999999999996,0.0
126.8244 ~ 126.83030000000001,37.696999999999996 ~ 37.7011,0.0
126.8244 ~ 126.83030000000001,37.7011 ~ 37.7052,0.0
126.8244 ~ 126.83030000000001,37.7052 ~ 37.7093,0.0
126.8244 ~ 126.83030000000001,37.7093 ~ 37.7134,0.0
126.8244 ~ 126.83030000000001,37.7134 ~ 37.717499999999994,0.0
126.83030000000001 ~ 126.8362,37.41 ~ 37.4141,0.0
126.83030000000001 ~ 126.8362,37.4141 ~ 37.4182,0.0
126.83030000000001 ~ 126.8362,37.4182 ~ 37.4223,0.0
126.83030000000001 ~ 126.8362,37.4223 ~ 37.426399999999994,0.0
126.83030000000001 ~ 126.8362,37.426399999999994 ~ 37.430499999999995,0.0
126.83030000000001 ~ 126.8362,37.430499999999995 ~ 37.434599999999996,0.0
126.83030000000001 ~ 126.8362,37.434599999999996 ~ 37.4387,0.0
126.83030000000001 ~ 126.8362,37.4387 ~ 37.4428,0.0
126.83030000000001 ~ 126.8362,37.4428 ~ 37.4469,0.0
126.83030000000001 ~ 126.8362,37.4469 ~ 37.45099999999999,0.0
126.83030000000001 ~ 126.8362,37.45099999999999 ~ 37.455099999999995,0.0
126.83030000000001 ~ 126.8362,37.455099999999995 ~ 37.459199999999996,0.0
126.83030000000001 ~ 126.8362,37.459199999999996 ~ 37.4633,0.0
126.83030000000001 ~ 126.8362,37.4633 ~ 37.4674,0.0
126.83030000000001 ~ 126.8362,37.4674 ~ 37.4715,0.0
126.83030000000001 ~ 126.8362,37.4715 ~ 37.4756,0.0
126.83030000000001 ~ 126.8362,37.4756 ~ 37.479699999999994,0.0
126.83030000000001 ~ 126.8362,37.479699999999994 ~ 37.483799999999995,1.0
126.83030000000001 ~ 126.8362,37.483799999999995 ~ 37.487899999999996,1.0
126.83030000000001 ~ 126.8362,37.487899999999996 ~ 37.492,6.0
126.83030000000001 ~ 126.8362,37.492 ~ 37.4961,30.0
126.83030000000001 ~ 126.8362,37.4961 ~ 37.5002,2.0
126.83030000000001 ~ 126.8362,37.5002 ~ 37.50429999999999,1.0
126.83030000000001 ~ 126.8362,37.50429999999999 ~ 37.508399999999995,3.0
126.83030000000001 ~ 126.8362,37.508399999999995 ~ 37.512499999999996,2.0
126.83030000000001 ~ 126.8362,37.512499999999996 ~ 37.5166,13.0
126.83030000000001 ~ 126.8362,37.5166 ~ 37.5207,6.0
126.83030000000001 ~ 126.8362,37.5207 ~ 37.5248,61.0
126.83030000000001 ~ 126.8362,37.5248 ~ 37.52889999999999,5.0
126.83030000000001 ~ 126.8362,37.52889999999999 ~ 37.532999999999994,59.0
126.83030000000001 ~ 126.8362,37.532999999999994 ~ 37.537099999999995,57.0
126.83030000000001 ~ 126.8362,37.537099999999995 ~ 37.541199999999996,84.0
126.83030000000001 ~ 126.8362,37.541199999999996 ~ 37.5453,30.0
126.83030000000001 ~ 126.8362,37.5453 ~ 37.5494,78.0
126.83030000000001 ~ 126.8362,37.5494 ~ 37.5535,72.0
126.83030000000001 ~ 126.8362,37.5535 ~ 37.557599999999994,1.0
126.83030000000001 ~ 126.8362,37.557599999999994 ~ 37.561699999999995,282.0
126.83030000000001 ~ 126.8362,37.561699999999995 ~ 37.565799999999996,0.0
126.83030000000001 ~ 126.8362,37.565799999999996 ~ 37.5699,0.0
126.83030000000001 ~ 126.8362,37.5699 ~ 37.574,3.0
126.83030000000001 ~ 126.8362,37.574 ~ 37.5781,0.0
126.83030000000001 ~ 126.8362,37.5781 ~ 37.58219999999999,0.0
126.83030000000001 ~ 126.8362,37.58219999999999 ~ 37.586299999999994,0.0
126.83030000000001 ~ 126.8362,37.586299999999994 ~ 37.590399999999995,0.0
126.83030000000001 ~ 126.8362,37.590399999999995 ~ 37.5945,0.0
126.83030000000001 ~ 126.8362,37.5945 ~ 37.5986,0.0
126.83030000000001 ~ 126.8362,37.5986 ~ 37.6027,0.0
126.83030000000001 ~ 126.8362,37.6027 ~ 37.6068,0.0
126.83030000000001 ~ 126.8362,37.6068 ~ 37.610899999999994,0.0
126.83030000000001 ~ 126.8362,37.610899999999994 ~ 37.614999999999995,0.0
126.83030000000001 ~ 126.8362,37.614999999999995 ~ 37.619099999999996,0.0
126.83030000000001 ~ 126.8362,37.619099999999996 ~ 37.6232,0.0
126.83030000000001 ~ 126.8362,37.6232 ~ 37.6273,0.0
126.83030000000001 ~ 126.8362,37.6273 ~ 37.6314,0.0
126.83030000000001 ~ 126.8362,37.6314 ~ 37.63549999999999,0.0
126.83030000000001 ~ 126.8362,37.63549999999999 ~ 37.639599999999994,0.0
126.83030000000001 ~ 126.8362,37.639599999999994 ~ 37.643699999999995,0.0
126.83030000000001 ~ 126.8362,37.643699999999995 ~ 37.6478,0.0
126.83030000000001 ~ 126.8362,37.6478 ~ 37.6519,0.0
126.83030000000001 ~ 126.8362,37.6519 ~ 37.656,0.0
126.83030000000001 ~ 126.8362,37.656 ~ 37.6601,0.0
126.83030000000001 ~ 126.8362,37.6601 ~ 37.664199999999994,0.0
126.83030000000001 ~ 126.8362,37.664199999999994 ~ 37.668299999999995,0.0
126.83030000000001 ~ 126.8362,37.668299999999995 ~ 37.672399999999996,0.0
126.83030000000001 ~ 126.8362,37.672399999999996 ~ 37.6765,0.0
126.83030000000001 ~ 126.8362,37.6765 ~ 37.6806,0.0
126.83030000000001 ~ 126.8362,37.6806 ~ 37.6847,0.0
126.83030000000001 ~ 126.8362,37.6847 ~ 37.68879999999999,0.0
126.83030000000001 ~ 126.8362,37.68879999999999 ~ 37.692899999999995,0.0
126.83030000000001 ~ 126.8362,37.692899999999995 ~ 37.696999999999996,0.0
126.83030000000001 ~ 126.8362,37.696999999999996 ~ 37.7011,0.0
126.83030000000001 ~ 126.8362,37.7011 ~ 37.7052,0.0
126.83030000000001 ~ 126.8362,37.7052 ~ 37.7093,0.0
126.83030000000001 ~ 126.8362,37.7093 ~ 37.7134,0.0
126.83030000000001 ~ 126.8362,37.7134 ~ 37.717499999999994,0.0
126.8362 ~ 126.8421,37.41 ~ 37.4141,0.0
126.8362 ~ 126.8421,37.4141 ~ 37.4182,0.0
126.8362 ~ 126.8421,37.4182 ~ 37.4223,0.0
126.8362 ~ 126.8421,37.4223 ~ 37.426399999999994,0.0
126.8362 ~ 126.8421,37.426399999999994 ~ 37.430499999999995,0.0
126.8362 ~ 126.8421,37.430499999999995 ~ 37.434599999999996,0.0
126.8362 ~ 126.8421,37.434599999999996 ~ 37.4387,0.0
126.8362 ~ 126.8421,37.4387 ~ 37.4428,0.0
126.8362 ~ 126.8421,37.4428 ~ 37.4469,0.0
126.8362 ~ 126.8421,37.4469 ~ 37.45099999999999,0.0
126.8362 ~ 126.8421,37.45099999999999 ~ 37.455099999999995,0.0
126.8362 ~ 126.8421,37.455099999999995 ~ 37.459199999999996,0.0
126.8362 ~ 126.8421,37.459199999999996 ~ 37.4633,0.0
126.8362 ~ 126.8421,37.4633 ~ 37.4674,0.0
126.8362 ~ 126.8421,37.4674 ~ 37.4715,0.0
126.8362 ~ 126.8421,37.4715 ~ 37.4756,0.0
126.8362 ~ 126.8421,37.4756 ~ 37.479699999999994,0.0
126.8362 ~ 126.8421,37.479699999999994 ~ 37.483799999999995,8.0
126.8362 ~ 126.8421,37.483799999999995 ~ 37.487899999999996,27.0
126.8362 ~ 126.8421,37.487899999999996 ~ 37.492,23.0
126.8362 ~ 126.8421,37.492 ~ 37.4961,27.0
126.8362 ~ 126.8421,37.4961 ~ 37.5002,7.0
126.8362 ~ 126.8421,37.5002 ~ 37.50429999999999,0.0
126.8362 ~ 126.8421,37.50429999999999 ~ 37.508399999999995,4.0
126.8362 ~ 126.8421,37.508399999999995 ~ 37.512499999999996,8.0
126.8362 ~ 126.8421,37.512499999999996 ~ 37.5166,30.0
126.8362 ~ 126.8421,37.5166 ~ 37.5207,58.0
126.8362 ~ 126.8421,37.5207 ~ 37.5248,38.0
126.8362 ~ 126.8421,37.5248 ~ 37.52889999999999,57.0
126.8362 ~ 126.8421,37.52889999999999 ~ 37.532999999999994,105.0
126.8362 ~ 126.8421,37.532999999999994 ~ 37.537099999999995,68.0
126.8362 ~ 126.8421,37.537099999999995 ~ 37.541199999999996,99.0
126.8362 ~ 126.8421,37.541199999999996 ~ 37.5453,87.0
126.8362 ~ 126.8421,37.5453 ~ 37.5494,7.0
126.8362 ~ 126.8421,37.5494 ~ 37.5535,19.0
126.8362 ~ 126.8421,37.5535 ~ 37.557599999999994,76.0
126.8362 ~ 126.8421,37.557599999999994 ~ 37.561699999999995,256.0
126.8362 ~ 126.8421,37.561699999999995 ~ 37.565799999999996,59.0
126.8362 ~ 126.8421,37.565799999999996 ~ 37.5699,94.0
126.8362 ~ 126.8421,37.5699 ~ 37.574,13.0
126.8362 ~ 126.8421,37.574 ~ 37.5781,1.0
126.8362 ~ 126.8421,37.5781 ~ 37.58219999999999,0.0
126.8362 ~ 126.8421,37.58219999999999 ~ 37.586299999999994,0.0
126.8362 ~ 126.8421,37.586299999999994 ~ 37.590399999999995,0.0
126.8362 ~ 126.8421,37.590399999999995 ~ 37.5945,0.0
126.8362 ~ 126.8421,37.5945 ~ 37.5986,0.0
126.8362 ~ 126.8421,37.5986 ~ 37.6027,0.0
126.8362 ~ 126.8421,37.6027 ~ 37.6068,0.0
126.8362 ~ 126.8421,37.6068 ~ 37.610899999999994,0.0
126.8362 ~ 126.8421,37.610899999999994 ~ 37.614999999999995,0.0
126.8362 ~ 126.8421,37.614999999999995 ~ 37.619099999999996,0.0
126.8362 ~ 126.8421,37.619099999999996 ~ 37.6232,0.0
126.8362 ~ 126.8421,37.6232 ~ 37.6273,0.0
126.8362 ~ 126.8421,37.6273 ~ 37.6314,0.0
126.8362 ~ 126.8421,37.6314 ~ 37.63549999999999,0.0
126.8362 ~ 126.8421,37.63549999999999 ~ 37.639599999999994,0.0
126.8362 ~ 126.8421,37.639599999999994 ~ 37.643699999999995,0.0
126.8362 ~ 126.8421,37.643699999999995 ~ 37.6478,0.0
126.8362 ~ 126.8421,37.6478 ~ 37.6519,0.0
126.8362 ~ 126.8421,37.6519 ~ 37.656,0.0
126.8362 ~ 126.8421,37.656 ~ 37.6601,0.0
126.8362 ~ 126.8421,37.6601 ~ 37.664199999999994,0.0
126.8362 ~ 126.8421,37.664199999999994 ~ 37.668299999999995,0.0
126.8362 ~ 126.8421,37.668299999999995 ~ 37.672399999999996,0.0
126.8362 ~ 126.8421,37.672399999999996 ~ 37.6765,0.0
126.8362 ~ 126.8421,37.6765 ~ 37.6806,0.0
126.8362 ~ 126.8421,37.6806 ~ 37.6847,0.0
126.8362 ~ 126.8421,37.6847 ~ 37.68879999999999,0.0
126.8362 ~ 126.8421,37.68879999999999 ~ 37.692899999999995,0.0
126.8362 ~ 126.8421,37.692899999999995 ~ 37.696999999999996,0.0
126.8362 ~ 126.8421,37.696999999999996 ~ 37.7011,0.0
126.8362 ~ 126.8421,37.7011 ~ 37.7052,0.0
126.8362 ~ 126.8421,37.7052 ~ 37.7093,0.0
126.8362 ~ 126.8421,37.7093 ~ 37.7134,0.0
126.8362 ~ 126.8421,37.7134 ~ 37.717499999999994,0.0
126.8421 ~ 126.848,37.41 ~ 37.4141,0.0
126.8421 ~ 126.848,37.4141 ~ 37.4182,0.0
126.8421 ~ 126.848,37.4182 ~ 37.4223,0.0
126.8421 ~ 126.848,37.4223 ~ 37.426399999999994,0.0
126.8421 ~ 126.848,37.426399999999994 ~ 37.430499999999995,0.0
126.8421 ~ 126.848,37.430499999999995 ~ 37.434599999999996,0.0
126.8421 ~ 126.848,37.434599999999996 ~ 37.4387,0.0
126.8421 ~ 126.848,37.4387 ~ 37.4428,0.0
126.8421 ~ 126.848,37.4428 ~ 37.4469,0.0
126.8421 ~ 126.848,37.4469 ~ 37.45099999999999,0.0
126.8421 ~ 126.848,37.45099999999999 ~ 37.455099999999995,0.0
126.8421 ~ 126.848,37.455099999999995 ~ 37.459199999999996,0.0
126.8421 ~ 126.848,37.459199999999996 ~ 37.4633,0.0
126.8421 ~ 126.848,37.4633 ~ 37.4674,0.0
126.8421 ~ 126.848,37.4674 ~ 37.4715,0.0
126.8421 ~ 126.848,37.4715 ~ 37.4756,0.0
126.8421 ~ 126.848,37.4756 ~ 37.479699999999994,0.0
126.8421 ~ 126.848,37.479699999999994 ~ 37.483799999999995,2.0
126.8421 ~ 126.848,37.483799999999995 ~ 37.487899999999996,0.0
126.8421 ~ 126.848,37.487899999999996 ~ 37.492,9.0
126.8421 ~ 126.848,37.492 ~ 37.4961,73.0
126.8421 ~ 126.848,37.4961 ~ 37.5002,74.0
126.8421 ~ 126.848,37.5002 ~ 37.50429999999999,43.0
126.8421 ~ 126.848,37.50429999999999 ~ 37.508399999999995,15.0
126.8421 ~ 126.848,37.508399999999995 ~ 37.512499999999996,2.0
126.8421 ~ 126.848,37.512499999999996 ~ 37.5166,0.0
126.8421 ~ 126.848,37.5166 ~ 37.5207,29.0
126.8421 ~ 126.848,37.5207 ~ 37.5248,62.0
126.8421 ~ 126.848,37.5248 ~ 37.52889999999999,64.0
126.8421 ~ 126.848,37.52889999999999 ~ 37.532999999999994,124.0
126.8421 ~ 126.848,37.532999999999994 ~ 37.537099999999995,56.0
126.8421 ~ 126.848,37.537099999999995 ~ 37.541199999999996,12.0
126.8421 ~ 126.848,37.541199999999996 ~ 37.5453,147.0
126.8421 ~ 126.848,37.5453 ~ 37.5494,55.0
126.8421 ~ 126.848,37.5494 ~ 37.5535,17.0
126.8421 ~ 126.848,37.5535 ~ 37.557599999999994,14.0
126.8421 ~ 126.848,37.557599999999994 ~ 37.561699999999995,105.0
126.8421 ~ 126.848,37.561699999999995 ~ 37.565799999999996,48.0
126.8421 ~ 126.848,37.565799999999996 ~ 37.5699,19.0
126.8421 ~ 126.848,37.5699 ~ 37.574,14.0
126.8421 ~ 126.848,37.574 ~ 37.5781,0.0
126.8421 ~ 126.848,37.5781 ~ 37.58219999999999,0.0
126.8421 ~ 126.848,37.58219999999999 ~ 37.586299999999994,0.0
126.8421 ~ 126.848,37.586299999999994 ~ 37.590399999999995,0.0
126.8421 ~ 126.848,37.590399999999995 ~ 37.5945,0.0
126.8421 ~ 126.848,37.5945 ~ 37.5986,0.0
126.8421 ~ 126.848,37.5986 ~ 37.6027,0.0
126.8421 ~ 126.848,37.6027 ~ 37.6068,0.0
126.8421 ~ 126.848,37.6068 ~ 37.610899999999994,0.0
126.8421 ~ 126.848,37.610899999999994 ~ 37.614999999999995,0.0
126.8421 ~ 126.848,37.614999999999995 ~ 37.619099999999996,0.0
126.8421 ~ 126.848,37.619099999999996 ~ 37.6232,0.0
126.8421 ~ 126.848,37.6232 ~ 37.6273,0.0
126.8421 ~ 126.848,37.6273 ~ 37.6314,0.0
126.8421 ~ 126.848,37.6314 ~ 37.63549999999999,0.0
126.8421 ~ 126.848,37.63549999999999 ~ 37.639599999999994,0.0
126.8421 ~ 126.848,37.639599999999994 ~ 37.643699999999995,0.0
126.8421 ~ 126.848,37.643699999999995 ~ 37.6478,0.0
126.8421 ~ 126.848,37.6478 ~ 37.6519,0.0
126.8421 ~ 126.848,37.6519 ~ 37.656,0.0
126.8421 ~ 126.848,37.656 ~ 37.6601,0.0
126.8421 ~ 126.848,37.6601 ~ 37.664199999999994,0.0
126.8421 ~ 126.848,37.664199999999994 ~ 37.668299999999995,0.0
126.8421 ~ 126.848,37.668299999999995 ~ 37.672399999999996,0.0
126.8421 ~ 126.848,37.672399999999996 ~ 37.6765,0.0
126.8421 ~ 126.848,37.6765 ~ 37.6806,0.0
126.8421 ~ 126.848,37.6806 ~ 37.6847,0.0
126.8421 ~ 126.848,37.6847 ~ 37.68879999999999,0.0
126.8421 ~ 126.848,37.68879999999999 ~ 37.692899999999995,0.0
126.8421 ~ 126.848,37.692899999999995 ~ 37.696999999999996,0.0
126.8421 ~ 126.848,37.696999999999996 ~ 37.7011,0.0
126.8421 ~ 126.848,37.7011 ~ 37.7052,0.0
126.8421 ~ 126.848,37.7052 ~ 37.7093,0.0
126.8421 ~ 126.848,37.7093 ~ 37.7134,0.0
126.8421 ~ 126.848,37.7134 ~ 37.717499999999994,0.0
126.848 ~ 126.85390000000001,37.41 ~ 37.4141,0.0
126.848 ~ 126.85390000000001,37.4141 ~ 37.4182,0.0
126.848 ~ 126.85390000000001,37.4182 ~ 37.4223,0.0
126.848 ~ 126.85390000000001,37.4223 ~ 37.426399999999994,0.0
126.848 ~ 126.85390000000001,37.426399999999994 ~ 37.430499999999995,0.0
126.848 ~ 126.85390000000001,37.430499999999995 ~ 37.434599999999996,0.0
126.848 ~ 126.85390000000001,37.434599999999996 ~ 37.4387,0.0
126.848 ~ 126.85390000000001,37.4387 ~ 37.4428,0.0
126.848 ~ 126.85390000000001,37.4428 ~ 37.4469,0.0
126.848 ~ 126.85390000000001,37.4469 ~ 37.45099999999999,0.0
126.848 ~ 126.85390000000001,37.45099999999999 ~ 37.455099999999995,0.0
126.848 ~ 126.85390000000001,37.455099999999995 ~ 37.459199999999996,0.0
126.848 ~ 126.85390000000001,37.459199999999996 ~ 37.4633,0.0
126.848 ~ 126.85390000000001,37.4633 ~ 37.4674,0.0
126.848 ~ 126.85390000000001,37.4674 ~ 37.4715,0.0
126.848 ~ 126.85390000000001,37.4715 ~ 37.4756,0.0
126.848 ~ 126.85390000000001,37.4756 ~ 37.479699999999994,0.0
126.848 ~ 126.85390000000001,37.479699999999994 ~ 37.483799999999995,4.0
126.848 ~ 126.85390000000001,37.483799999999995 ~ 37.487899999999996,12.0
126.848 ~ 126.85390000000001,37.487899999999996 ~ 37.492,7.0
126.848 ~ 126.85390000000001,37.492 ~ 37.4961,0.0
126.848 ~ 126.85390000000001,37.4961 ~ 37.5002,15.0
126.848 ~ 126.85390000000001,37.5002 ~ 37.50429999999999,100.0
126.848 ~ 126.85390000000001,37.50429999999999 ~ 37.508399999999995,7.0
126.848 ~ 126.85390000000001,37.508399999999995 ~ 37.512499999999996,2.0
126.848 ~ 126.85390000000001,37.512499999999996 ~ 37.5166,2.0
126.848 ~ 126.85390000000001,37.5166 ~ 37.5207,50.0
126.848 ~ 126.85390000000001,37.5207 ~ 37.5248,56.0
126.848 ~ 126.85390000000001,37.5248 ~ 37.52889999999999,18.0
126.848 ~ 126.85390000000001,37.52889999999999 ~ 37.532999999999994,85.0
126.848 ~ 126.85390000000001,37.532999999999994 ~ 37.537099999999995,9.0
126.848 ~ 126.85390000000001,37.537099999999995 ~ 37.541199999999996,4.0
126.848 ~ 126.85390000000001,37.541199999999996 ~ 37.5453,3.0
126.848 ~ 126.85390000000001,37.5453 ~ 37.5494,46.0
126.848 ~ 126.85390000000001,37.5494 ~ 37.5535,173.0
126.848 ~ 126.85390000000001,37.5535 ~ 37.557599999999994,85.0
